school,year,semester,grade,class,number,student_number,sex,chinese_1,chinese_2,chinese_3,math_1,math_2,math_3,english_1,english_2,english_3,science_1,science_2,science_3,society_1,society_2,society_3
1,108,1,7,2,12,10825,Male,62,51,54,15,49,26,45,41,62,58,51,46,39,60,36
1,108,1,7,2,13,10826,Male,78,69,75,53,80,73,94,96,91,72,65,87,81,87,74
1,108,2,7,1,1,10801,Female,87,90,93,100,100,91,95,99,94,92,90,86,92,95,87
1,108,2,7,1,2,10802,Female,92,86,94,80,74,62,82,92,88,84,85,82,87,89,87
1,108,2,7,1,3,10803,Female,71,75,86,80,86,73,86,92,91,80,88,74,84,86,64
1,108,2,7,1,4,10804,Female,87,71,83,48,41,49,64,66,64,74,65,68,71,76,71
1,108,2,7,1,5,10805,Female,77,77,83,27,22,29,45,53,41,70,58,62,70,63,70
1,108,2,7,1,6,10806,Female,47,50,57,21,2,32,26,40,34,35,33,32,68,43,42
1,108,2,7,1,7,10807,Female,82,76,89,80,90,62,87,91,92,82,88,74,79,91,80
1,108,2,7,1,8,10808,Male,86,85,92,84,88,79,90,84,87,92,98,84,91,87,84
1,108,2,7,1,9,10809,Male,88,89,90,95,92,79,86,86,88,94,85,90,94,92,85
1,108,2,7,1,10,10810,Male,86,82,90,65,77,55,70,60,70,89,83,94,86,97,92
1,108,2,7,1,11,10811,Male,55,61,56,30,25,38,68,66,51,51,48,38,60,74,62
1,108,2,7,1,12,10812,Male,49,43,58,28,17,30,20,37,22,41,43,42,53,62,62
1,108,2,7,1,14,10813,Male,86,84,80,71,68,45,58,49,66,75,78,66,80,78,73
1,108,2,7,2,1,10814,Female,92,92,100,96,87,94,99,98,94,98,98,92,98,100,97
1,108,2,7,2,2,10815,Female,87,82,90,71,67,82,89,94,84,69,83,76,71,76,77
1,108,2,7,2,3,10816,Female,81,80,93,71,61,75,64,70,78,69,93,86,81,82,76
1,108,2,7,2,4,10817,Female,77,71,82,59,29,70,31,36,48,74,68,70,76,69,79
1,108,2,7,2,5,10818,Female,73,77,88,36,23,51,86,87,87,46,68,62,69,73,75
1,108,2,7,2,6,10819,Female,77,65,81,64,58,58,54,56,44,46,65,68,66,64,48
1,108,2,7,2,7,10820,Female,53,52,69,59,28,69,43,45,36,45,48,32,49,41,32
1,108,2,7,2,8,10821,Male,89,93,94,91,77,82,93,97,90,97,95,90,94,91,92
1,108,2,7,2,9,10822,Male,82,78,79,67,34,63,61,63,61,62,60,72,84,77,67
1,108,2,7,2,10,10823,Male,60,68,78,74,45,69,70,72,76,48,40,56,60,44,69
1,108,2,7,2,11,10824,Male,65,64,73,53,54,67,39,46,40,30,43,44,48,34,44
1,108,2,7,2,12,10825,Male,55,58,80,25,10,32,33,46,46,36,36,56,49,49,52
1,108,2,7,2,13,10826,Male,89,75,88,74,66,52,83,84,77,51,70,72,65,86,80
1,109,1,8,1,1,10801,Female,85,91,85,94,99,85,100,99,95,96,76,84,82,75,91
1,109,1,8,1,2,10802,Female,91,89,78,71,75,62,94,77,87,97,76,80,87,86,98
1,109,1,8,1,3,10803,Female,89,80,81,87,100,94,95,90,91,97,84,84,92,72,91
1,109,1,8,1,4,10804,Female,82,78,69,18,57,46,56,52,57,81,62,64,60,68,76
1,109,1,8,1,5,10805,Female,75,75,72,15,18,21,30,27,44,76,62,62,54,58,81
1,109,1,8,1,6,10806,Female,37,0,58,9,30,21,27,25,32,58,38,28,36,47,38
1,109,1,8,1,7,10807,Female,79,86,84,85,81,89,96,95,93,82,72,92,82,82,96
1,109,1,8,1,8,10808,Male,90,88,89,93,94,75,82,78,84,94,70,86,83,82,90
1,109,1,8,1,9,10809,Male,86,86,93,68,100,85,81,84,88,98,84,96,87,81,99
1,109,1,8,1,10,10810,Male,85,88,81,37,63,27,57,51,58,87,78,86,83,87,90
1,109,1,8,1,11,10811,Male,43,48,60,24,16,15,38,43,48,68,58,36,52,38,70
1,109,1,8,1,12,10812,Male,57,47,48,21,21,27,12,24,17,64,60,62,50,53,54
1,109,1,8,1,14,10813,Male,80,78,78,35,39,40,37,27,33,79,68,70,81,71,77
1,109,1,8,2,1,10814,Female,97,94,97,94,97,94,100,100,100,99,82,92,93,98,100
1,109,1,8,2,2,10815,Female,77,80,82,54,75,82,85,74,79,88,88,82,65,66,90
1,109,1,8,2,3,10816,Female,88,79,89,55,80,74,61,56,66,87,66,80,75,72,89
1,109,1,8,2,4,10817,Female,84,76,76,42,50,62,33,32,41,71,50,64,59,74,83
1,109,1,8,2,5,10818,Female,88,77,80,48,41,42,90,67,84,73,52,64,64,52,65
1,109,1,8,2,6,10819,Female,77,56,76,47,50,51,40,25,41,59,56,54,63,51,69
1,109,1,8,2,7,10820,Female,51,39,50,32,43,50,18,25,36,66,50,60,37,35,49
1,109,1,8,2,8,10821,Male,98,84,95,92,86,92,95,94,90,91,80,80,86,82,97
1,109,1,8,2,9,10822,Male,83,75,71,59,75,66,68,43,48,71,72,68,75,68,64
1,109,1,8,2,10,10823,Male,74,76,67,50,70,72,77,65,64,80,50,46,28,54,74
1,109,1,8,2,11,10824,Male,61,44,65,43,25,51,35,28,38,68,40,50,37,44,48
1,109,1,8,2,12,10825,Male,61,61,53,8,32,27,22,26,32,69,46,20,30,37,32
1,109,1,8,2,13,10826,Male,77,75,77,60,65,73,83,67,75,74,54,64,63,74,75
1,109,2,8,1,1,10801,Female,84,88,90,92,81,84,97,92,95,92,86,92,74,85,100
1,109,2,8,1,2,10802,Female,92,87,90,80,60,84,87,86,87,94,84,92,84,94,98
1,109,2,8,1,3,10803,Female,75,79,82,98,96,92,95,88,93,94,96,93,78,77,97
1,109,2,8,1,4,10804,Female,76,79,82,47,50,44,43,49,72,70,72,85,63,71,74
1,109,2,8,1,5,10805,Female,82,86,76,28,35,24,33,32,52,68,80,90,58,76,97
1,109,2,8,1,6,10806,Female,63,41,36,41,10,16,25,34,50,52,48,65,34,32,81
1,109,2,8,1,7,10807,Female,80,90,92,81,75,64,92,89,95,72,90,95,77,94,99
1,109,2,8,1,8,10808,Male,86,87,89,100,95,64,71,71,53,86,84,90,75,90,67
1,109,2,8,1,9,10809,Male,88,91,96,100,96,96,93,83,87,96,94,92,84,92,100
1,109,2,8,1,10,10810,Male,89,82,82,73,86,72,76,70,85,86,82,93,81,91,100
1,109,2,8,1,11,10811,Male,49,58,45,29,27,48,40,41,35,52,60,78,55,73,68
1,109,2,8,1,12,10812,Male,46,56,35,24,20,40,13,19,35,62,60,70,56,69,50
1,109,2,8,1,14,10813,Male,72,82,68,54,53,32,21,27,35,76,66,76,65,85,74
1,109,2,8,2,1,10814,Female,100,99,95,93,83,100,98,97,98,98,92,92,90,97,100
1,109,2,8,2,2,10815,Female,80,82,73,71,78,80,83,79,74,80,82,82,60,73,68
1,109,2,8,2,3,10816,Female,84,91,73,73,74,72,58,41,41,84,84,83,76,88,69
1,109,2,8,2,4,10817,Female,79,79,55,67,51,36,22,34,59,72,78,81,69,83,88
1,109,2,8,2,5,10818,Female,84,80,73,58,32,52,74,70,79,68,68,78,65,74,83
1,109,2,8,2,6,10819,Female,69,77,60,40,53,60,33,42,55,56,54,75,58,64,91
1,109,2,8,2,7,10820,Female,43,33,44,55,45,52,26,31,29,50,40,60,42,47,42
1,109,2,8,2,8,10821,Male,93,97,95,77,90,68,91,85,83,86,88,75,86,95,86
1,109,2,8,2,9,10822,Male,79,78,94,77,67,76,48,32,63,68,62,95,72,81,90
1,109,2,8,2,10,10823,Male,66,72,60,85,56,68,60,72,57,74,70,85,57,77,83
1,109,2,8,2,11,10824,Male,64,57,40,73,35,64,30,24,48,70,58,68,35,48,76
1,109,2,8,2,12,10825,Male,60,56,40,21,24,28,26,27,45,58,46,60,31,52,44
1,109,2,8,2,13,10826,Male,84,81,80,51,62,60,73,70,71,56,72,75,61,82,89
1,110,1,9,1,1,10801,Female,88,92,90,93,63,100,89,96,93,93,78,86,90,87,90
1,110,1,9,1,2,10802,Female,90,93,94,92,43,74,83,92,92,85,94,84,81,88,96
1,110,1,9,1,3,10803,Female,89,79,86,100,87,98,96,99,92,93,94,86,81,78,73
1,110,1,9,1,4,10804,Female,82,82,85,50,35,45,49,62,71,79,64,66,78,73,76
1,110,1,9,1,5,10805,Female,77,82,90,27,9,26,21,54,43,70,68,68,70,66,85
1,110,1,9,1,6,10806,Female,53,64,51,9,12,9,18,28,33,45,56,60,35,38,44
1,110,1,9,1,7,10807,Female,88,83,85,84,35,81,84,92,92,92,86,82,86,90,89
1,110,1,9,1,8,10808,Male,89,90,88,82,75,78,73,80,77,80,96,88,81,92,89
1,110,1,9,1,9,10809,Male,88,88,93,90,73,93,79,92,95,92,88,88,96,94,95
1,110,1,9,1,10,10810,Male,88,80,82,67,27,86,67,76,78,95,86,94,84,88,92
1,110,1,9,1,11,10811,Male,61,65,69,25,29,11,30,46,47,60,56,42,54,50,74
1,110,1,9,1,12,10812,Male,51,45,42,35,27,21,10,22,29,50,62,50,44,62,53
1,110,1,9,1,14,10813,Male,78,82,68,54,30,58,25,33,56,77,70,74,75,73,75
1,110,1,9,2,1,10814,Female,92,94,96,84,93,73,97,100,94,97,80,88,88,89,91
1,110,1,9,2,2,10815,Female,84,83,90,91,60,73,76,80,89,88,68,86,62,68,84
1,110,1,9,2,3,10816,Female,87,93,92,82,76,60,53,60,66,79,76,74,75,92,75
1,110,1,9,2,4,10817,Female,78,63,86,30,30,63,38,44,46,60,66,60,71,83,72
1,110,1,9,2,5,10818,Female,77,85,81,47,20,53,70,80,83,67,74,72,65,64,74
1,110,1,9,2,6,10819,Female,79,70,75,40,20,33,22,50,49,68,60,68,42,67,75
1,110,1,9,2,7,10820,Female,62,46,36,56,40,47,22,32,41,63,60,60,34,39,48
1,110,1,9,2,8,10821,Male,93,94,96,91,88,82,90,94,91,84,88,82,82,78,82
1,110,1,9,2,9,10822,Male,78,67,87,61,60,74,51,61,62,79,66,78,60,54,66
1,110,1,9,2,10,10823,Male,75,79,75,73,55,40,42,58,62,70,72,50,54,69,63
1,110,1,9,2,11,10824,Male,68,68,70,62,51,40,27,40,29,74,64,74,51,48,59
1,110,1,9,2,12,10825,Male,63,64,65,24,25,30,26,26,23,57,54,62,24,40,48
1,110,1,9,2,13,10826,Male,88,89,86,75,60,68,71,75,71,72,62,68,70,73,73
1,110,2,9,1,1,10801,Female,94,98,,97,94,,99,96,,92,86,,97,92,
1,110,2,9,1,2,10802,Female,93,97,,86,82,,90,95,,84,94,,98,95,
1,110,2,9,1,3,10803,Female,93,92,,100,94,,96,97,,96,95,,92,94,
1,110,2,9,1,4,10804,Female,83,89,,69,60,,57,68,,62,78,,93,90,
1,110,2,9,1,5,10805,Female,83,84,,37,62,,49,53,,68,75,,92,92,
1,110,2,9,1,6,10806,Female,46,85,,46,48,,34,25,,46,76,,87,80,
1,110,2,9,1,7,10807,Female,84,93,,90,80,,98,94,,90,86,,100,98,
1,110,2,9,1,8,10808,Male,90,95,,92,96,,82,64,,86,94,,92,95,
1,110,2,9,1,9,10809,Male,98,95,,96,91,,92,90,,94,86,,100,99,
1,110,2,9,1,10,10810,Male,97,96,,83,82,,81,75,,96,91,,99,95,
1,110,2,9,1,11,10811,Male,79,70,,52,48,,42,45,,72,75,,77,86,
1,110,2,9,1,12,10812,Male,56,65,,48,40,,19,51,,50,84,,76,79,
1,110,2,9,1,14,10813,Male,82,85,,68,78,,26,40,,68,66,,91,88,
1,110,2,9,2,1,10814,Female,96,97,,98,86,,100,97,,98,86,,98,97,
1,110,2,9,2,2,10815,Female,83,89,,98,81,,88,81,,72,69,,89,92,
1,110,2,9,2,3,10816,Female,91,95,,87,72,,57,59,,70,61,,92,94,
1,110,2,9,2,4,10817,Female,82,84,,78,55,,42,27,,72,69,,86,94,
1,110,2,9,2,5,10818,Female,83,92,,88,60,,82,85,,88,73,,88,89,
1,110,2,9,2,6,10819,Female,83,89,,72,78,,46,44,,72,63,,82,91,
1,110,2,9,2,7,10820,Female,49,52,,52,33,,22,27,,52,44,,67,85,
1,110,2,9,2,8,10821,Male,96,96,,78,94,,87,92,,78,74,,90,98,
1,110,2,9,2,9,10822,Male,60,81,,66,70,,46,45,,66,51,,79,86,
1,110,2,9,2,10,10823,Male,81,81,,58,64,,63,65,,58,60,,84,87,
1,110,2,9,2,11,10824,Male,63,88,,72,66,,34,37,,72,71,,80,89,
1,110,2,9,2,12,10825,Male,62,81,,62,24,,24,25,,62,31,,77,87,
1,110,2,9,2,13,10826,Male,75,94,,80,78,,76,70,,80,78,,91,89,
1,109,1,7,1,1,10901,Female,98,97,93,100,100,100,98,98,100,96,100,96,95,98,95
1,109,1,7,1,2,10902,Female,73,71,79,72,66,90,77,81,74,82,70,84,83,75,75
1,109,1,7,1,3,10903,Female,62,73,66,74,87,87,90,83,89,82,90,90,75,79,84
1,109,1,7,1,4,10904,Female,67,80,79,44,61,37,73,84,77,62,66,48,65,72,65
1,109,1,7,1,5,10905,Female,45,55,47,4,15,15,44,83,35,32,38,38,55,49,46
1,109,1,7,1,6,10906,Female,33,42,38,37,60,42,56,44,71,34,36,28,66,45,49
1,109,1,7,1,7,10907,Female,72,80,76,50,34,90,84,56,84,70,52,68,74,62,75
1,109,1,7,1,8,10908,Male,83,88,86,77,71,72,93,96,96,92,100,96,92,91,91
1,109,1,7,1,9,10909,Male,75,75,73,86,78,92,89,91,91,82,76,84,85,68,70
1,109,1,7,1,10,10910,Male,81,83,78,86,88,91,83,88,83,96,94,98,98,90,84
1,109,1,7,1,11,10911,Male,50,64,62,60,73,71,82,82,86,68,70,70,64,80,82
1,109,1,7,1,12,10912,Male,61,62,65,43,77,84,80,81,74,86,76,84,84,69,69
1,109,1,7,1,13,10913,Male,59,70,58,67,65,60,68,61,61,78,78,80,81,82,74
1,109,1,7,1,14,10914,Male,43,61,45,16,28,26,51,48,43,48,46,40,48,59,49
1,109,1,7,1,15,10915,Male,52,49,60,39,30,22,39,41,63,42,44,46,49,54,44
1,109,1,7,2,1,10916,Female,89,91,84,98,82,73,95,92,97,96,96,94,86,87,92
1,109,1,7,2,2,10917,Female,96,91,92,95,87,100,96,99,98,100,98,98,93,98,97
1,109,1,7,2,3,10918,Female,47,48,65,46,47,79,83,86,81,76,58,62,68,83,76
1,109,1,7,2,4,10919,Female,73,66,72,42,58,62,85,79,79,68,80,68,67,73,55
1,109,1,7,2,5,10920,Female,56,61,53,51,51,49,73,73,83,66,54,50,71,58,64
1,109,1,7,2,6,10921,Female,67,67,61,54,71,68,68,73,77,58,46,52,68,72,51
1,109,1,7,2,8,10922,Male,100,94,91,91,98,100,97,92,91,94,98,94,88,94,97
1,109,1,7,2,9,10923,Male,79,73,76,75,83,100,92,94,95,92,96,92,92,89,86
1,109,1,7,2,10,10924,Male,70,71,76,56,67,78,89,87,84,76,78,72,84,78,72
1,109,1,7,2,11,10925,Male,60,57,66,52,59,57,75,72,73,92,94,84,80,74,77
1,109,1,7,2,12,10926,Male,51,61,65,41,30,50,78,83,81,70,58,58,77,72,80
1,109,1,7,2,13,10927,Male,59,60,65,36,41,19,86,89,92,60,78,66,76,68,79
1,109,1,7,2,14,10928,Male,55,68,73,41,43,65,62,56,49,66,60,74,75,72,87
1,109,1,7,2,15,10929,Male,58,51,56,28,23,33,69,78,76,62,44,40,69,52,56
1,109,1,7,2,16,10930,Male,32,36,38,16,13,26,62,50,53,46,40,46,39,32,60
1,109,1,7,2,17,10931,Male,27,43,41,24,36,19,40,27,44,52,32,38,46,56,57
1,109,2,7,1,1,10901,Female,91,99,98,100,100,98,100,98,96,100,94,100,96,100,99
1,109,2,7,1,2,10902,Female,70,67,83,92,76,83,77,84,76,82,62,77,82,86,83
1,109,2,7,1,3,10903,Female,62,65,65,99,92,89,88,83,79,86,74,63,79,81,87
1,109,2,7,1,4,10904,Female,72,61,86,51,46,72,80,73,72,64,52,60,82,78,84
1,109,2,7,1,5,10905,Female,42,60,38,40,24,19,25,30,29,38,28,40,46,54,28
1,109,2,7,1,6,10906,Female,31,54,51,29,24,37,46,47,52,36,28,43,56,58,72
1,109,2,7,1,7,10907,Female,63,78,80,74,75,63,75,70,78,64,52,90,80,86,92
1,109,2,7,1,8,10908,Male,74,82,92,76,90,75,92,96,91,98,98,97,92,96,93
1,109,2,7,1,9,10909,Male,68,75,88,100,91,60,90,95,90,80,76,87,73,75,94
1,109,2,7,1,10,10910,Male,82,78,79,93,85,81,87,86,75,96,94,97,85,83,97
1,109,2,7,1,11,10911,Male,62,71,66,96,73,64,78,74,67,60,62,77,76,72,77
1,109,2,7,1,12,10912,Male,57,60,68,75,85,43,69,71,58,66,80,77,86,90,77
1,109,2,7,1,13,10913,Male,61,67,58,52,52,55,44,47,35,82,72,73,98,92,78
1,109,2,7,1,14,10914,Male,47,42,57,36,12,28,57,47,48,40,32,37,65,61,81
1,109,2,7,1,15,10915,Male,58,64,52,35,27,56,41,38,32,42,30,53,58,60,83
1,109,2,7,2,1,10916,Female,88,79,85,95,88,83,92,96,90,82,84,90,77,89,98
1,109,2,7,2,2,10917,Female,88,95,95,99,100,93,100,100,94,98,92,100,95,92,99
1,109,2,7,2,3,10918,Female,59,64,56,73,66,83,78,72,75,66,64,80,70,75,99
1,109,2,7,2,4,10919,Female,71,69,83,70,55,78,70,72,73,62,70,77,59,77,98
1,109,2,7,2,5,10920,Female,46,69,58,56,43,14,81,79,67,58,54,77,70,68,84
1,109,2,7,2,6,10921,Female,53,77,70,48,48,72,75,57,65,48,36,80,43,49,78
1,109,2,7,2,8,10922,Male,87,93,98,100,100,96,93,92,86,100,94,90,85,93,96
1,109,2,7,2,9,10923,Male,66,79,88,89,100,90,88,88,86,92,82,87,78,91,93
1,109,2,7,2,10,10924,Male,65,84,80,76,62,72,86,87,82,76,82,87,65,78,89
1,109,2,7,2,11,10925,Male,70,65,57,60,35,68,73,65,48,86,60,90,61,62,77
1,109,2,7,2,12,10926,Male,47,68,62,53,60,61,72,81,82,52,54,43,63,80,74
1,109,2,7,2,13,10927,Male,58,76,74,38,45,59,80,84,76,70,60,83,66,90,81
1,109,2,7,2,14,10928,Male,62,80,75,67,65,67,52,46,50,62,70,80,69,88,95
1,109,2,7,2,15,10929,Male,46,58,50,32,36,37,74,75,62,46,52,60,49,70,80
1,109,2,7,2,16,10930,Male,28,31,53,16,21,11,36,33,37,44,38,77,46,70,35
1,109,2,7,2,17,10931,Male,28,47,57,51,29,24,28,40,43,42,44,60,30,55,71
1,110,1,8,1,1,10901,Female,92,100,96,100,100,96,100,100,98,100,100,100,90,97,91
1,110,1,8,1,2,10902,Female,80,96,89,90,99,83,73,83,82,90,84,87,81,83,75
1,110,1,8,1,3,10903,Female,73,71,76,97,95,100,83,86,88,90,100,94,70,61,59
1,110,1,8,1,4,10904,Female,80,82,90,61,61,54,74,73,76,64,54,42,74,56,66
1,110,1,8,1,5,10905,Female,27,61,60,16,36,6,33,25,15,38,26,12,37,26,33
1,110,1,8,1,6,10906,Female,30,41,38,34,36,12,48,30,34,40,28,22,44,24,42
1,110,1,8,1,7,10907,Female,76,85,89,71,66,51,72,79,57,76,62,68,79,77,68
1,110,1,8,1,8,10908,Male,84,95,88,72,86,74,98,98,91,88,87,86,98,89,83
1,110,1,8,1,9,10909,Male,65,79,87,92,86,72,85,86,90,84,92,81,83,65,71
1,110,1,8,1,10,10910,Male,79,87,82,94,92,88,85,89,85,94,94,93,88,82,79
1,110,1,8,1,11,10911,Male,59,80,65,74,82,83,66,78,72,68,70,55,62,62,59
1,110,1,8,1,12,10912,Male,60,73,67,90,83,82,63,76,74,82,87,75,83,76,71
1,110,1,8,1,13,10913,Male,62,79,75,61,70,42,38,49,47,74,74,61,93,83,76
1,110,1,8,1,14,10914,Male,60,71,57,8,18,6,45,44,24,44,28,24,43,57,58
1,110,1,8,1,15,10915,Male,52,58,57,12,30,28,39,45,42,56,75,66,62,56,37
1,110,1,8,2,1,10916,Female,81,86,85,84,85,84,99,97,95,92,87,85,83,75,83
1,110,1,8,2,2,10917,Female,92,91,92,84,97,94,100,96,98,100,100,100,98,95,91
1,110,1,8,2,3,10918,Female,54,69,63,74,77,76,80,85,75,74,72,65,78,69,55
1,110,1,8,2,4,10919,Female,66,76,79,54,66,72,79,90,82,74,76,63,63,57,59
1,110,1,8,2,5,10920,Female,55,63,67,46,40,18,57,67,66,44,38,52,50,67,56
1,110,1,8,2,6,10921,Female,64,73,81,60,53,38,56,58,55,66,64,38,60,38,43
1,110,1,8,2,8,10922,Male,90,93,98,100,100,98,92,95,92,98,100,96,81,88,85
1,110,1,8,2,9,10923,Male,76,73,78,98,100,87,91,94,91,96,100,97,84,83,78
1,110,1,8,2,10,10924,Male,74,90,83,75,74,64,82,96,86,78,86,84,72,79,77
1,110,1,8,2,11,10925,Male,52,62,61,60,72,53,52,47,54,76,81,72,70,67,72
1,110,1,8,2,12,10926,Male,59,75,67,60,56,42,70,74,76,64,56,40,63,60,66
1,110,1,8,2,13,10927,Male,62,77,54,40,36,34,87,87,83,68,68,60,68,70,51
1,110,1,8,2,14,10928,Male,56,69,78,61,64,74,31,33,32,68,69,49,85,74,69
1,110,1,8,2,15,10929,Male,55,62,65,30,60,6,68,77,70,54,36,26,46,56,58
1,110,1,8,2,16,10930,Male,46,26,38,12,28,12,28,25,30,34,22,22,45,48,40
1,110,1,8,2,17,10931,Male,46,60,54,44,52,38,29,31,36,56,44,38,49,42,39
1,110,2,8,1,1,10901,Female,99,97,98,99,96,92,98,100,97,100,100,100,95,92,100
1,110,2,8,1,2,10902,Female,87,79,74,87,85,82,75,75,70,94,80,86,78,82,80
1,110,2,8,1,3,10903,Female,72,67,74,91,60,86,79,78,84,93,76,87,72,64,72
1,110,2,8,1,4,10904,Female,81,82,90,55,60,54,67,78,66,47,68,44,65,76,79
1,110,2,8,1,5,10905,Female,64,58,54,12,32,30,24,29,36,22,24,34,39,42,35
1,110,2,8,1,6,10906,Female,39,32,49,21,24,50,39,24,42,24,30,34,47,32,39
1,110,2,8,1,7,10907,Female,72,64,80,66,56,66,79,70,79,89,80,78,78,86,80
1,110,2,8,1,8,10908,Male,94,87,96,75,85,78,96,88,95,100,86,94,87,96,90
1,110,2,8,1,9,10909,Male,74,76,90,89,77,80,87,89,85,94,86,81,83,76,83
1,110,2,8,1,10,10910,Male,77,84,89,92,88,88,82,90,91,96,83,92,83,82,91
1,110,2,8,1,11,10911,Male,71,71,67,80,68,54,59,70,58,64,60,54,69,66,56
1,110,2,8,1,12,10912,Male,75,75,68,75,80,78,74,58,70,80,79,78,81,70,86
1,110,2,8,1,13,10913,Male,74,68,65,61,71,50,28,30,34,75,57,72,74,80,82
1,110,2,8,1,14,10914,Male,64,57,47,20,24,38,33,32,25,32,42,40,60,66,58
1,110,2,8,1,15,10915,Male,51,65,60,21,24,38,46,45,62,54,90,81,85,81,87
1,110,2,8,2,1,10916,Female,85,80,85,96,68,74,95,96,92,95,83,84,81,74,88
1,110,2,8,2,2,10917,Female,93,97,97,92,98,94,95,97,98,100,100,98,96,92,100
1,110,2,8,2,3,10918,Female,72,69,68,75,52,82,73,74,72,73,67,75,70,76,80
1,110,2,8,2,4,10919,Female,81,77,78,77,63,74,60,68,78,54,66,66,79,72,80
1,110,2,8,2,5,10920,Female,55,57,44,47,16,46,69,65,60,52,52,40,59,58,64
1,110,2,8,2,6,10921,Female,71,62,60,57,60,60,50,53,55,54,63,57,58,48,65
1,110,2,8,2,8,10922,Male,94,84,92,100,87,98,95,90,92,100,100,95,91,82,94
1,110,2,8,2,9,10923,Male,72,79,75,86,90,86,83,80,81,99,92,86,86,74,83
1,110,2,8,2,10,10924,Male,78,78,85,75,60,88,90,84,90,68,63,84,80,72,80
1,110,2,8,2,11,10925,Male,57,58,60,53,60,66,29,34,41,79,74,76,63,82,62
1,110,2,8,2,12,10926,Male,56,60,66,57,55,50,72,83,76,64,42,68,77,64,60
1,110,2,8,2,13,10927,Male,66,62,65,57,32,46,82,88,84,60,50,52,64,60,62
1,110,2,8,2,14,10928,Male,64,71,74,76,67,84,28,27,21,70,70,78,80,76,79
1,110,2,8,2,15,10929,Male,63,53,59,46,40,40,58,66,59,55,44,35,53,62,58
1,110,2,8,2,16,10930,Male,40,26,35,25,16,30,24,20,33,24,22,24,35,34,45
1,110,2,8,2,17,10931,Male,57,34,37,36,40,50,30,24,27,47,50,38,55,58,30
1,111,1,9,1,1,10901,Female,98,93,98,90,97,98,100,98,100,92,86,94,98,96,98
1,111,1,9,1,2,10902,Female,81,80,82,81,76,90,74,66,75,74,86,78,81,84,73
1,111,1,9,1,3,10903,Female,63,74,65,87,71,92,95,75,81,66,64,80,69,75,61
1,111,1,9,1,4,10904,Female,80,84,73,52,40,75,79,66,76,62,62,66,80,85,73
1,111,1,9,1,5,10905,Female,39,64,48,12,20,38,30,26,29,26,36,30,35,40,37
1,111,1,9,1,6,10906,Female,55,43,39,12,30,24,37,29,36,30,34,24,30,42,39
1,111,1,9,1,7,10907,Female,71,89,85,66,75,74,75,69,78,74,80,72,81,87,84
1,111,1,9,1,8,10908,Male,92,79,93,83,65,86,91,91,94,92,86,92,96,98,95
1,111,1,9,1,9,10909,Male,70,79,78,84,83,86,97,83,81,76,76,74,78,81,70
1,111,1,9,1,10,10910,Male,86,87,84,97,83,98,85,77,88,84,88,92,89,90,89
